"Kod";"Nazwa";"przeciętna liczba osób na 1 izbę;2002;[-]";"przeciętna liczba osób na 1 izbę;2003;[-]";"przeciętna liczba osób na 1 izbę;2004;[-]";"przeciętna liczba osób na 1 izbę;2005;[-]";"przeciętna liczba osób na 1 izbę;2006;[-]";"przeciętna liczba osób na 1 izbę;2007;[-]";"przeciętna liczba osób na 1 izbę;2008;[-]";"przeciętna liczba osób na 1 izbę;2009;[-]";"przeciętna liczba osób na 1 izbę;2010;[-]";"przeciętna liczba osób na 1 izbę;2011;[-]";"przeciętna liczba osób na 1 izbę;2012;[-]";"przeciętna liczba osób na 1 izbę;2013;[-]";"przeciętna liczba osób na 1 izbę;2014;[-]";"przeciętna liczba osób na 1 izbę;2015;[-]";"przeciętna liczba osób na 1 izbę;2016;[-]";"przeciętna liczba osób na 1 izbę;2017;[-]";"przeciętna liczba osób na 1 izbę;2018;[-]";"przeciętna liczba osób na 1 izbę;2019;[-]";"przeciętna liczba osób na 1 izbę;2020;[-]";"przeciętna liczba osób na 1 izbę;2021;[-]";"przeciętna liczba osób na 1 izbę;2022;[-]";
1814073;"Sieniawa (3)";;0,96;0,95;0,94;0,94;0,94;0,94;0,92;0,96;0,95;0,94;0,93;0,92;0,91;0,90;0,88;0,87;0,86;0,78;0,76;0,76;
1814074;"Sieniawa - miasto (4)";;0,85;0,84;0,83;0,84;0,85;0,85;0,83;0,84;0,83;0,83;0,81;0,80;0,79;0,79;0,78;0,78;0,78;0,74;0,72;0,72;
1814075;"Sieniawa - obszar wiejski (5)";;1,01;1,01;1,00;1,00;0,99;0,98;0,97;1,02;1,01;1,01;0,99;0,98;0,97;0,96;0,94;0,92;0,90;0,81;0,78;0,78;
1814082;"Tryńcza (2)";;0,97;0,96;0,95;0,95;0,94;0,92;0,92;0,90;0,90;0,88;0,87;0,87;0,86;0,85;0,84;0,83;0,82;0,75;0,75;0,74;
1814092;"Zarzecze (2)";;1,00;0,99;0,99;0,99;0,99;0,98;0,97;0,94;0,93;0,92;0,92;0,91;0,89;0,89;0,88;0,87;0,86;0,79;0,78;0,77;
1815000;"Powiat ropczycko-sędziszowski";;1,00;0,99;0,99;0,99;0,98;0,98;0,98;0,92;0,92;0,92;0,91;0,90;0,89;0,88;0,87;0,86;0,85;0,79;0,78;0,77;
1815012;"Iwierzyce (2)";;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,89;0,89;0,89;0,88;0,88;0,87;0,87;0,87;0,86;0,85;0,78;0,77;0,76;
1815022;"Ostrów (2)";;1,01;1,01;1,01;1,01;1,00;1,01;1,01;0,95;0,95;0,95;0,94;0,93;0,92;0,91;0,90;0,90;0,88;0,79;0,79;0,78;
1815033;"Ropczyce (3)";;1,00;1,00;1,00;0,99;0,99;0,98;0,97;0,92;0,92;0,92;0,91;0,90;0,88;0,88;0,87;0,86;0,85;0,78;0,77;0,76;
1815034;"Ropczyce - miasto (4)";;0,92;0,92;0,91;0,91;0,90;0,90;0,89;0,86;0,86;0,86;0,85;0,84;0,83;0,82;0,81;0,80;0,78;0,72;0,72;0,71;
1815035;"Ropczyce - obszar wiejski (5)";;1,14;1,14;1,14;1,13;1,13;1,13;1,12;1,02;1,01;1,01;1,00;0,99;0,98;0,98;0,97;0,96;0,96;0,87;0,86;0,84;
1815043;"Sędziszów Małopolski (3)";;0,97;0,96;0,96;0,96;0,95;0,95;0,95;0,89;0,89;0,88;0,88;0,87;0,87;0,86;0,85;0,84;0,83;0,78;0,77;0,76;
1815044;"Sędziszów Małopolski - miasto (4)";;0,86;0,86;0,85;0,85;0,83;0,83;0,83;0,81;0,80;0,80;0,79;0,78;0,77;0,76;0,75;0,75;0,79;0,73;0,73;0,72;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";;1,03;1,02;1,03;1,03;1,02;1,02;1,02;0,93;0,93;0,93;0,93;0,93;0,92;0,91;0,90;0,89;0,89;0,83;0,82;0,81;
1815052;"Wielopole Skrzyńskie (2)";;1,16;1,16;1,16;1,15;1,14;1,13;1,13;1,04;1,04;1,02;1,00;0,99;0,97;0,96;0,95;0,93;0,92;0,86;0,85;0,83;
1816000;"Powiat rzeszowski";;0,86;0,85;0,84;0,84;0,82;0,82;0,82;0,84;0,83;0,82;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,71;0,70;0,69;
1816011;"Dynów (1)";;0,91;0,90;0,89;0,88;0,88;0,86;0,86;0,85;0,85;0,83;0,82;0,81;0,80;0,80;0,79;0,78;0,78;0,72;0,71;0,70;
1816023;"Błażowa (3)";;0,78;0,78;0,77;0,77;0,76;0,75;0,74;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,74;0,72;0,72;0,67;0,67;0,66;
1816024;"Błażowa - miasto (4)";;0,76;0,75;0,75;0,75;0,74;0,73;0,72;0,74;0,74;0,74;0,73;0,73;0,72;0,72;0,71;0,70;0,70;0,65;0,65;0,64;
1816025;"Błażowa - obszar wiejski (5)";;0,79;0,78;0,78;0,77;0,76;0,75;0,74;0,80;0,79;0,78;0,77;0,77;0,76;0,75;0,74;0,73;0,72;0,68;0,67;0,66;
1816032;"Boguchwała (2)";;0,85;0,84;0,83;0,81;0,81;;;;;;;;;;;;;;;;
1816033;"Boguchwała (3)";;;;;;;0,81;0,80;0,80;0,79;0,77;0,77;0,76;0,75;0,75;0,74;0,73;0,73;0,68;0,67;0,66;
1816034;"Boguchwała - miasto (4)";;;;;;;0,79;0,79;0,81;0,80;0,78;0,78;0,78;0,77;0,77;0,76;0,75;0,75;0,68;0,68;0,67;
1816035;"Boguchwała - obszar wiejski (5)";;;;;;;0,82;0,80;0,80;0,79;0,77;0,76;0,75;0,75;0,74;0,73;0,73;0,72;0,68;0,66;0,65;
1816042;"Chmielnik (2)";;0,84;0,83;0,82;0,81;0,80;0,79;0,79;0,83;0,82;0,81;0,80;0,78;0,77;0,76;0,76;0,74;0,73;0,71;0,71;0,70;
1816052;"Dynów (2)";;0,97;0,96;0,97;0,95;0,94;0,93;0,93;0,94;0,92;0,91;0,90;0,89;0,88;0,87;0,86;0,86;0,85;0,77;0,76;0,75;
1816063;"Głogów Małopolski (3)";;0,83;0,83;0,82;0,82;0,80;0,80;0,79;0,81;0,80;0,80;0,79;0,79;0,78;0,76;0,76;0,75;0,74;0,69;0,69;0,68;
1816064;"Głogów Małopolski - miasto (4)";;0,73;0,73;0,73;0,72;0,71;0,70;0,69;0,73;0,72;0,72;0,71;0,71;0,70;0,68;0,68;0,68;0,66;0,65;0,65;0,64;
1816065;"Głogów Małopolski - obszar wiejski (5)";;0,88;0,87;0,86;0,86;0,85;0,84;0,84;0,85;0,84;0,84;0,83;0,83;0,82;0,80;0,80;0,79;0,79;0,73;0,75;0,73;
1816072;"Hyżne (2)";;0,91;0,90;0,90;0,90;0,89;0,87;0,86;0,90;0,89;0,88;0,87;0,87;0,86;0,85;0,83;0,82;0,81;0,76;0,75;0,74;
1816082;"Kamień (2)";;1,08;1,08;1,08;1,08;1,07;1,06;1,05;1,02;1,02;1,01;1,00;0,99;0,98;0,97;0,96;0,96;0,95;0,89;0,88;0,87;
1816092;"Krasne (2)";;0,80;0,79;0,78;0,75;0,74;0,73;0,72;0,78;0,77;0,76;0,75;0,73;0,72;0,71;0,70;0,69;0,68;0,65;0,64;0,63;
1816102;"Lubenia (2)";;0,91;0,91;0,90;0,89;0,88;0,88;0,88;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,72;0,71;0,70;
1816113;"Sokołów Małopolski (3)";;0,98;0,97;0,97;0,96;0,94;0,94;0,94;0,98;0,98;0,97;0,97;0,96;0,95;0,94;0,94;0,94;0,92;0,83;0,82;0,81;
1816114;"Sokołów Małopolski - miasto (4)";;0,83;0,82;0,81;0,81;0,79;0,79;0,78;0,81;0,81;0,80;0,79;0,79;0,79;0,77;0,77;0,78;0,76;0,69;0,68;0,67;
1816115;"Sokołów Małopolski - obszar wiejski (5)";;1,04;1,03;1,03;1,02;1,00;1,00;1,00;1,05;1,05;1,04;1,03;1,03;1,02;1,01;1,01;1,00;0,99;0,88;0,88;0,86;
1816122;"Świlcza (2)";;0,84;0,84;0,83;0,82;0,75;0,79;0,79;0,84;0,83;0,83;0,82;0,81;0,80;0,79;0,78;0,77;0,77;0,72;0,71;0,70;
1816132;"Trzebownisko (2)";;0,82;0,81;0,81;0,81;0,81;0,80;0,79;0,79;0,79;0,78;0,78;0,77;0,77;0,76;0,75;0,74;0,73;0,67;0,67;0,66;
1816143;"Tyczyn (3)";;0,81;0,80;0,79;0,79;0,79;0,78;0,76;0,82;0,81;0,80;0,80;0,78;0,76;0,75;0,74;0,73;0,71;0,68;0,68;0,67;
1816144;"Tyczyn - miasto (4)";;0,73;0,73;0,72;0,72;0,72;0,71;0,70;0,73;0,73;0,73;0,73;0,71;0,70;0,70;0,69;0,67;0,63;0,63;0,63;0,62;
1816145;"Tyczyn - obszar wiejski (5)";;0,84;0,82;0,81;0,81;0,81;0,79;0,78;0,86;0,85;0,84;0,83;0,82;0,80;0,78;0,77;0,76;0,76;0,72;0,71;0,70;
1817000;"Powiat sanocki";;0,89;0,89;0,88;0,87;0,87;0,86;0,85;0,86;0,85;0,85;0,84;0,83;0,82;0,81;0,81;0,80;0,79;0,72;0,71;0,70;
1817011;"Sanok (1)";;0,84;0,83;0,82;0,81;0,80;0,80;0,80;0,79;0,78;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,68;0,66;0,65;
1817022;"Besko (2)";;0,94;0,93;0,93;0,92;0,92;0,90;0,90;0,92;0,91;0,90;0,90;0,89;0,88;0,87;0,87;0,85;0,84;0,78;0,77;0,75;
1817032;"Bukowsko (2)";;0,94;0,94;0,93;0,93;0,93;0,93;0,93;0,93;0,93;0,92;0,91;0,90;0,89;0,89;0,88;0,87;0,85;0,78;0,77;0,76;
1817042;"Komańcza (2)";;0,97;0,96;0,96;0,96;0,95;0,94;0,93;0,96;0,94;0,93;0,92;0,91;0,90;0,88;0,88;0,87;0,85;0,78;0,75;0,74;
1817052;"Sanok (2)";;0,96;0,95;0,95;0,94;0,93;0,92;0,91;0,97;0,96;0,94;0,93;0,91;0,90;0,89;0,88;0,87;0,86;0,74;0,73;0,72;
1817062;"Tyrawa Wołoska (2)";;1,04;1,04;1,03;1,02;1,02;1,01;0,99;1,02;1,01;1,01;1,00;0,98;0,97;0,95;0,94;0,94;0,92;0,80;0,79;0,77;
1817073;"Zagórz (3)";;0,93;0,92;0,92;0,91;0,90;0,90;0,88;0,89;0,88;0,88;0,86;0,85;0,85;0,84;0,83;0,83;0,82;0,78;0,76;0,75;
1817074;"Zagórz - miasto (4)";;0,86;0,86;0,85;0,84;0,83;0,82;0,81;0,83;0,83;0,82;0,80;0,79;0,79;0,78;0,77;0,77;0,77;0,74;0,72;0,71;
1817075;"Zagórz - obszar wiejski (5)";;0,97;0,97;0,97;0,97;0,96;0,95;0,94;0,93;0,92;0,92;0,91;0,90;0,89;0,89;0,88;0,87;0,86;0,80;0,79;0,77;
1817082;"Zarszyn (2)";;0,88;0,88;0,88;0,87;0,87;0,87;0,86;0,86;0,85;0,84;0,84;0,83;0,83;0,82;0,80;0,79;0,78;0,71;0,70;0,69;
1818000;"Powiat stalowowolski";;0,86;0,85;0,84;0,83;0,83;0,82;0,81;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,76;0,75;0,74;0,69;0,68;0,67;
1818011;"Stalowa Wola (1)";;0,84;0,83;0,82;0,81;0,80;0,79;0,78;0,80;0,79;0,78;0,78;0,77;0,76;0,75;0,75;0,73;0,72;0,68;0,67;0,65;
1818022;"Bojanów (2)";;1,04;1,03;1,01;1,00;0,99;0,98;0,98;1,03;1,02;1,01;0,99;0,97;0,95;0,94;0,92;0,90;0,90;0,81;0,79;0,78;
1818032;"Pysznica (2)";;0,93;0,91;0,91;0,90;0,89;0,89;0,86;0,78;0,77;0,77;0,76;0,75;0,73;0,72;0,72;0,71;0,69;0,66;0,65;0,64;
1818042;"Radomyśl nad Sanem (2)";;0,88;0,87;0,86;0,86;0,85;0,84;0,83;0,80;0,79;0,78;0,77;0,77;0,76;0,75;0,74;0,74;0,73;0,70;0,69;0,68;
1818052;"Zaklików (2)";;0,86;0,84;0,83;0,82;0,82;0,81;0,81;0,89;0,89;0,88;0,87;;;;;;;;;;
1818053;"Zaklików (3)";;;;;;;;;;;;;0,86;0,85;0,84;0,83;0,82;0,81;0,72;0,71;0,70;
1818054;"Zaklików - miasto (4)";;;;;;;;;;;;;0,77;0,76;0,75;0,74;0,74;0,72;0,67;0,66;0,66;
1818055;"Zaklików - obszar wiejski (5)";;;;;;;;;;;;;0,92;0,91;0,90;0,89;0,87;0,86;0,75;0,73;0,72;
1818062;"Zaleszany (2)";;0,88;0,88;0,87;0,86;0,86;0,85;0,84;0,81;0,81;0,80;0,79;0,78;0,76;0,75;0,74;0,73;0,72;0,68;0,67;0,66;
1819000;"Powiat strzyżowski";;0,89;0,89;0,88;0,87;0,87;0,85;0,85;0,89;0,88;0,86;0,85;0,84;0,83;0,82;0,81;0,80;0,79;0,74;0,72;0,71;
1819012;"Czudec (2)";;0,88;0,87;0,87;0,86;0,85;0,83;0,82;0,88;0,87;0,86;0,84;0,83;0,82;0,81;0,81;0,80;0,79;0,72;0,71;0,70;
1819022;"Frysztak (2)";;0,93;0,93;0,92;0,92;0,91;0,90;0,90;0,88;0,88;0,87;0,85;0,84;0,83;0,82;0,81;0,80;0,79;0,73;0,72;0,71;
1819032;"Niebylec (2)";;0,90;0,90;0,89;0,89;0,88;0,86;0,86;0,92;0,90;0,89;0,88;0,87;0,85;0,84;0,83;0,83;0,82;0,74;0,72;0,71;
1819043;"Strzyżów (3)";;0,85;0,85;0,85;0,83;0,83;0,82;0,81;0,86;0,85;0,83;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,72;0,71;0,70;
1819044;"Strzyżów - miasto (4)";;0,81;0,80;0,79;0,78;0,77;0,76;0,76;0,82;0,81;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,68;0,67;0,66;
1819045;"Strzyżów - obszar wiejski (5)";;0,89;0,89;0,89;0,88;0,88;0,86;0,85;0,89;0,88;0,87;0,86;0,85;0,83;0,83;0,82;0,81;0,80;0,76;0,75;0,74;
1819052;"Wiśniowa (2)";;0,95;0,94;0,94;0,94;0,93;0,92;0,91;0,95;0,94;0,93;0,91;0,89;0,88;0,86;0,85;0,84;0,83;0,78;0,77;0,76;
1820000;"Powiat tarnobrzeski";;0,92;0,92;0,91;0,90;0,90;0,89;0,88;0,87;0,86;0,85;0,84;0,83;0,83;0,82;0,81;0,80;0,79;0,73;0,72;0,71;
1820013;"Baranów Sandomierski (3)";;0,88;0,87;0,86;0,86;0,85;0,85;0,84;0,84;0,84;0,83;0,82;0,81;0,81;0,80;0,79;0,78;0,77;0,72;0,71;0,70;
1820014;"Baranów Sandomierski - miasto (4)";;0,71;0,71;0,71;0,71;0,69;0,68;0,68;0,72;0,72;0,71;0,70;0,67;0,67;0,67;0,66;0,66;0,65;0,58;0,58;0,57;
1820015;"Baranów Sandomierski - obszar wiejski (5)";;0,91;0,90;0,89;0,88;0,88;0,88;0,87;0,86;0,86;0,85;0,84;0,84;0,83;0,82;0,81;0,80;0,80;0,74;0,73;0,72;
1820022;"Gorzyce (2)";;0,94;0,92;0,92;0,90;0,90;0,89;0,88;0,87;0,86;0,85;0,84;0,83;0,82;0,81;0,80;0,79;0,77;0,71;0,70;0,69;
1820032;"Grębów (2)";;0,97;0,97;0,97;0,97;0,96;0,96;0,95;0,88;0,87;0,86;0,86;0,84;0,83;0,82;0,81;0,80;0,79;0,73;0,72;0,71;
1820043;"Nowa Dęba (3)";;0,92;0,91;0,91;0,90;0,90;0,89;0,88;0,88;0,88;0,87;0,86;0,85;0,84;0,83;0,83;0,82;0,81;0,75;0,74;0,73;
1820044;"Nowa Dęba - miasto (4)";;0,91;0,90;0,90;0,89;0,88;0,87;0,86;0,88;0,87;0,86;0,86;0,85;0,84;0,83;0,82;0,82;0,80;0,74;0,73;0,71;
1820045;"Nowa Dęba - obszar wiejski (5)";;0,94;0,94;0,94;0,93;0,93;0,92;0,91;0,89;0,89;0,87;0,87;0,86;0,85;0,84;0,83;0,82;0,81;0,77;0,76;0,75;
1821000;"Powiat leski";;0,90;0,90;0,89;0,88;0,87;0,86;0,85;0,83;0,81;0,80;0,79;0,78;0,77;0,76;0,75;0,73;0,72;0,69;0,67;0,66;
1821012;"Baligród (2)";;0,93;0,91;0,91;0,91;0,89;0,88;0,87;0,84;0,84;0,82;0,81;0,81;0,80;0,79;0,76;0,76;0,75;0,73;0,72;0,69;
1821022;"Cisna (2)";;0,81;0,79;0,77;0,76;0,73;0,70;0,67;0,55;0,53;0,52;0,52;0,50;0,50;0,50;0,47;0,47;0,45;0,48;0,46;0,44;
1821033;"Lesko (3)";;0,92;0,91;0,91;0,90;0,89;0,88;0,86;0,85;0,84;0,83;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,73;0,72;0,71;
1821034;"Lesko - miasto (4)";;0,89;0,89;0,88;0,86;0,85;0,84;0,81;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,74;0,71;0,71;0,69;0,68;0,67;
1821035;"Lesko - obszar wiejski (5)";;0,95;0,94;0,95;0,94;0,93;0,93;0,92;0,91;0,90;0,89;0,88;0,87;0,86;0,85;0,83;0,83;0,81;0,77;0,76;0,74;
1821042;"Olszanica (2)";;0,95;0,94;0,94;0,92;0,92;0,90;0,90;0,92;0,91;0,89;0,88;0,87;0,86;0,85;0,84;0,82;0,81;0,76;0,74;0,72;
1821052;"Solina (2)";;0,85;0,84;0,83;0,82;0,82;0,81;0,81;0,83;0,81;0,80;0,78;0,77;0,75;0,74;0,73;0,72;0,70;0,63;0,61;0,60;
1861000;"Powiat m. Krosno";;0,80;0,79;0,78;0,77;0,75;0,75;0,74;0,73;0,72;0,71;0,70;0,69;0,68;0,67;0,67;0,66;0,65;0,63;0,62;0,60;
1861011;"Krosno (1)";;0,80;0,79;0,78;0,77;0,75;0,75;0,74;0,73;0,72;0,71;0,70;0,69;0,68;0,67;0,67;0,66;0,65;0,63;0,62;0,60;
1862000;"Powiat m. Przemyśl";;0,87;0,87;0,86;0,86;0,85;0,84;0,83;0,79;0,78;0,77;0,76;0,76;0,74;0,73;0,73;0,71;0,70;0,67;0,66;0,65;
1862011;"Przemyśl (1)";;0,87;0,87;0,86;0,86;0,85;0,84;0,83;0,79;0,78;0,77;0,76;0,76;0,74;0,73;0,73;0,71;0,70;0,67;0,66;0,65;
1863000;"Powiat m. Rzeszów";;0,83;0,82;0,81;0,80;0,79;0,77;0,76;0,73;0,72;0,71;0,70;0,70;0,68;0,66;0,65;0,64;0,63;0,58;0,57;0,56;
1863011;"Rzeszów (1)";;0,83;0,82;0,81;0,80;0,79;0,77;0,76;0,73;0,72;0,71;0,70;0,70;0,68;0,66;0,65;0,64;0,63;0,58;0,57;0,56;
1864000;"Powiat m. Tarnobrzeg";;0,86;0,85;0,85;0,84;0,83;0,82;0,81;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,73;0,71;0,70;0,67;0,65;0,64;
1864011;"Tarnobrzeg (1)";;0,86;0,85;0,85;0,84;0,83;0,82;0,81;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,73;0,71;0,70;0,67;0,65;0,64;
2000000;"PODLASKIE";;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,71;0,71;0,70;0,69;0,68;0,67;0,66;0,65;0,65;0,64;0,62;0,61;0,60;
2001000;"Powiat augustowski";;0,79;0,78;0,78;0,77;0,76;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,65;0,64;0,63;
2001011;"Augustów (1)";;0,74;0,74;0,73;0,73;0,73;0,72;0,70;0,71;0,70;0,70;0,69;0,69;0,68;0,68;0,67;0,67;0,66;0,66;0,65;0,64;
2001022;"Augustów (2)";;0,93;0,93;0,92;0,91;0,90;0,89;0,88;0,87;0,87;0,86;0,86;0,85;0,83;0,82;0,81;0,79;0,79;0,75;0,73;0,71;
2001032;"Bargłów Kościelny (2)";;0,97;0,97;0,97;0,96;0,95;0,94;0,94;0,93;0,92;0,91;0,90;0,89;0,89;0,88;0,86;0,85;0,84;0,76;0,74;0,73;
2001043;"Lipsk (3)";;0,82;0,81;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,66;0,64;0,62;0,60;
2001044;"Lipsk - miasto (4)";;0,76;0,75;0,74;0,74;0,73;0,72;0,71;0,72;0,70;0,69;0,68;0,67;0,66;0,65;0,65;0,64;0,62;0,59;0,58;0,57;
2001045;"Lipsk - obszar wiejski (5)";;0,87;0,86;0,86;0,84;0,82;0,82;0,81;0,78;0,77;0,77;0,76;0,75;0,75;0,73;0,72;0,71;0,69;0,68;0,65;0,64;
2001052;"Nowinka (2)";;0,79;0,78;0,76;0,75;0,74;0,73;0,72;0,70;0,68;0,67;0,66;0,65;0,64;0,63;0,62;0,60;0,60;0,57;0,56;0,55;
2001062;"Płaska (2)";;0,68;0,67;0,64;0,63;0,60;0,58;0,57;0,56;0,55;0,54;0,54;0,53;0,52;0,50;0,49;0,48;0,47;0,42;0,41;0,39;
2001072;"Sztabin (2)";;0,81;0,80;0,80;0,78;0,76;0,76;0,76;0,76;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,68;0,68;0,64;0,63;0,62;
2002000;"Powiat białostocki";;0,74;0,73;0,72;0,72;0,71;0,69;0,69;0,68;0,68;0,67;0,66;0,65;0,64;0,63;0,62;0,61;0,60;0,60;0,59;0,58;
2002013;"Choroszcz (3)";;0,77;0,75;0,75;0,74;0,73;0,70;0,69;0,69;0,68;0,67;0,66;0,64;0,63;0,61;0,60;0,59;0,58;0,59;0,58;0,56;
2002014;"Choroszcz - miasto (4)";;0,82;0,81;0,80;0,78;0,78;0,76;0,74;0,77;0,76;0,75;0,74;0,73;0,72;0,70;0,69;0,69;0,68;0,65;0,64;0,63;
2002015;"Choroszcz - obszar wiejski (5)";;0,73;0,72;0,71;0,71;0,70;0,67;0,67;0,65;0,63;0,62;0,61;0,60;0,58;0,57;0,55;0,54;0,54;0,56;0,55;0,52;
2002023;"Czarna Białostocka (3)";;0,82;0,81;0,81;0,81;0,80;0,79;0,78;0,78;0,78;0,77;0,76;0,75;0,74;0,74;0,73;0,72;0,71;0,69;0,68;0,66;
2002024;"Czarna Białostocka - miasto (4)";;0,84;0,83;0,83;0,83;0,82;0,81;0,80;0,80;0,80;0,79;0,78;0,77;0,77;0,76;0,75;0,74;0,73;0,71;0,70;0,68;
2002025;"Czarna Białostocka - obszar wiejski (5)";;0,71;0,72;0,71;0,72;0,72;0,72;0,72;0,71;0,69;0,68;0,68;0,67;0,65;0,66;0,65;0,64;0,61;0,61;0,60;0,59;
2002032;"Dobrzyniewo Duże (2)";;0,79;0,78;0,78;0,77;0,76;0,74;0,73;0,71;0,70;0,68;0,67;0,67;0,65;0,64;0,63;0,62;0,60;0,61;0,60;0,58;
2002042;"Gródek (2)";;0,58;0,57;0,56;0,55;0,55;0,55;0,54;0,52;0,52;0,51;0,50;0,49;0,48;0,47;0,46;0,45;0,45;0,45;0,44;0,43;
2002052;"Juchnowiec Kościelny (2)";;0,74;0,73;0,72;0,71;0,71;0,68;0,68;0,65;0,66;0,65;0,64;0,63;0,62;0,61;0,60;0,59;0,59;0,60;0,59;0,57;
2002063;"Łapy (3)";;0,76;0,76;0,75;0,75;0,74;0,73;0,72;0,73;0,72;0,72;0,71;0,70;0,69;0,69;0,68;0,68;0,67;0,66;0,65;0,64;
2002064;"Łapy - miasto (4)";;0,75;0,75;0,74;0,73;0,73;0,72;0,71;0,72;0,72;0,71;0,70;0,70;0,69;0,68;0,68;0,67;0,67;0,65;0,64;0,63;
2002065;"Łapy - obszar wiejski (5)";;0,78;0,78;0,78;0,78;0,76;0,76;0,75;0,74;0,74;0,74;0,73;0,71;0,71;0,70;0,70;0,69;0,68;0,69;0,68;0,66;
2002072;"Michałowo (2)";;0,66;0,64;0,63;0,64;0,62;0,62;;;;;;;;;;;;;;;
2002073;"Michałowo (3)";;;;;;;;0,61;0,61;0,60;0,60;0,59;0,58;0,57;0,56;0,54;0,53;0,52;0,50;0,49;0,48;
2002074;"Michałowo - miasto (4)";;;;;;;;0,78;0,72;0,72;0,72;0,71;0,70;0,69;0,68;0,67;0,66;0,65;0,61;0,60;0,59;
2002075;"Michałowo - obszar wiejski (5)";;;;;;;;0,51;0,54;0,53;0,52;0,51;0,50;0,49;0,48;0,47;0,46;0,45;0,43;0,42;0,41;
2002082;"Poświętne (2)";;0,90;0,89;0,89;0,89;0,88;0,88;0,86;0,92;0,91;0,90;0,90;0,89;0,87;0,85;0,85;0,83;0,81;0,72;0,71;0,70;
2002093;"Supraśl (3)";;0,70;0,70;0,69;0,69;0,68;0,67;0,67;0,61;0,60;0,59;0,58;0,57;0,56;0,55;0,54;0,54;0,53;0,57;0,55;0,54;
2002094;"Supraśl - miasto (4)";;0,71;0,70;0,70;0,70;0,70;0,69;0,69;0,68;0,68;0,67;0,67;0,66;0,65;0,66;0,65;0,64;0,64;0,63;0,62;0,61;
2002095;"Supraśl - obszar wiejski (5)";;0,69;0,69;0,69;0,69;0,68;0,66;0,65;0,57;0,57;0,56;0,55;0,54;0,52;0,52;0,51;0,50;0,50;0,55;0,53;0,52;
2002103;"Suraż (3)";;0,76;0,75;0,75;0,75;0,74;0,74;0,74;0,69;0,69;0,69;0,68;0,67;0,66;0,64;0,64;0,62;0,62;0,61;0,60;0,59;
2002104;"Suraż - miasto (4)";;0,74;0,75;0,74;0,74;0,73;0,73;0,74;0,69;0,69;0,68;0,68;0,67;0,66;0,64;0,64;0,64;0,63;0,63;0,63;0,62;
2002105;"Suraż - obszar wiejski (5)";;0,78;0,76;0,75;0,75;0,74;0,74;0,74;0,70;0,70;0,70;0,68;0,66;0,66;0,65;0,63;0,61;0,61;0,59;0,57;0,56;
2002112;"Turośń Kościelna (2)";;0,72;0,72;0,71;0,70;0,68;0,66;0,65;0,64;0,64;0,63;0,62;0,61;0,60;0,59;0,58;0,58;0,58;0,58;0,57;0,56;
2002123;"Tykocin (3)";;0,83;0,82;0,81;0,81;0,80;0,80;0,80;0,80;0,79;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,69;0,68;0,67;
2002124;"Tykocin - miasto (4)";;0,76;0,76;0,76;0,75;0,75;0,75;0,75;0,77;0,78;0,78;0,77;0,76;0,75;0,75;0,74;0,74;0,73;0,70;0,69;0,67;
2002125;"Tykocin - obszar wiejski (5)";;0,86;0,85;0,84;0,83;0,82;0,82;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,75;0,74;0,73;0,72;0,69;0,68;0,67;
2002133;"Wasilków (3)";;0,73;0,71;0,70;0,70;0,69;0,68;0,68;0,67;0,67;0,67;0,66;0,66;0,63;0,62;0,61;0,61;0,60;0,60;0,60;0,59;
2002134;"Wasilków - miasto (4)";;0,73;0,71;0,71;0,70;0,69;0,68;0,68;0,68;0,68;0,68;0,68;0,68;0,66;0,66;0,65;0,66;0,65;0,65;0,64;0,64;
2002135;"Wasilków - obszar wiejski (5)";;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,66;0,65;0,64;0,62;0,60;0,58;0,56;0,54;0,53;0,52;0,54;0,54;0,52;
2002143;"Zabłudów (3)";;0,69;0,68;0,67;0,59;0,59;0,58;0,58;0,64;0,63;0,62;0,61;0,60;0,59;0,58;0,57;0,56;0,55;0,56;0,55;0,55;
